
------------------------INICIANDO NOVO MONITORAMENTO------------------------
Nome do Protocolo, Data, Número do Protocolo, IP de Origem, IP de Destino, Id, Tamanho 
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 68
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 102
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 136
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 170
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 204
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 238
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 272
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 306
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 340
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 374
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 408
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 442
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 476
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 510
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 544
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 578
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 612
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 646
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 680
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 714
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 748
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 782
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 816
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 850
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 884
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 918
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 952
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 986
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1020
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1054
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1088
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1122
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1156
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1190
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1224
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1258
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1292
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1326
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1360
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1394
IPV4,Wed Nov 12 19:27:49 2025, 255, 192.168.255.1, 192.168.255.10, 0, 1428
